2026-06-22 16:14:50.891 [pool-1-thread-1583] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?MITONIA - REKO (Official lyrics video)
2026-06-22 16:14:50.896 [pool-1-thread-1583] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?MITONIA - REKO (Official lyrics video)
2026-06-22 16:14:50.913 [pool-1-thread-1583] INFO  com.mp3.desktop.Programme3 - Chanson '?MITONIA - REKO (Official lyrics video)' ajoutee avec succes (ID=12.0)
2026-06-22 16:14:50.913 [pool-1-thread-1583] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MITONIA - REKO (Official lyrics video)(MP3_160K).mp3
2026-06-22 16:14:50.940 [pool-1-thread-1583] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MITONIA - REKO (Official lyrics video)(MP3_160K).mp3
2026-06-22 16:14:50.940 [pool-1-thread-1584] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Ny Anaranao
2026-06-22 16:14:50.944 [pool-1-thread-1584] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Ny Anaranao
2026-06-22 16:14:50.960 [pool-1-thread-1584] INFO  com.mp3.desktop.Programme3 - Chanson '?Ny Anaranao' ajoutee avec succes (ID=13.0)
2026-06-22 16:14:50.960 [pool-1-thread-1584] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\NY ANARANAO - REKO(MP3_160K).mp3
2026-06-22 16:14:50.995 [pool-1-thread-1584] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\NY ANARANAO - REKO(MP3_160K).mp3
2026-06-22 16:14:50.996 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Rotoroto
